N,Naive,NaiveC,BlockedC,BlockedOMP,BlockedOMPTuning,Numpy
50,0.005111485700399499,2.7374799174140207e-05,1.4952199489925987e-05,0.0008329037998919375,2.2601599630434067e-05,8.721799895283766e-06
100,0.04095594420032285,0.00021912379925197455,9.580459955031984e-05,0.00031590199832862707,3.210389950254466e-05,2.766270044958219e-05
150,0.140285389699784,0.0006890987995575415,0.00029225110047264024,0.00034023320040432736,0.00034986460086656735,0.0004883464007434668
200,0.3396303572997567,0.0019282092005596496,0.0007481477998226183,0.0008861199999955716,0.0001958420001756167,0.0004829063000215683
250,0.6416620318999776,0.003734867399907671,0.001239175500086276,0.006292251300692442,0.004138295400116477,0.0009920050008076942
300,1.166738071600048,0.006776425899806782,0.0023092419000022347,0.0007798629998433171,0.000806385700343526,0.006618492500274442
350,1.8653906363000714,0.010906813399924432,0.003466013700017356,0.0013956413997220807,0.0003414243004954187,0.0021688561002520144
400,2.8167814545995498,0.02472659699997166,0.0039703716000076385,0.0018956071999127744,0.0004992422000213992,0.0014768146003916627
600,,0.08891702819964849,0.012024369999562624,0.00504813359984837,0.005496807499730494,0.002936250500351889
800,,0.1951079613994807,0.04675434229975508,0.010662693699850933,0.007482979700580472,0.0024973972995212534
1000,,0.41114160969918884,0.082741208900552,0.014389733399730176,0.006696328500038362,0.004171456500262139
1200,,0.7007706456002779,0.15415232890009065,0.026308732100369527,0.010482449300252484,0.006397072299296269
1400,,1.2191844684999524,0.15097708189932746,0.04409911539951281,0.014183140600289334,0.00813574960011465
1600,,1.8814628515010554,0.22382864890023485,0.07604025799992087,0.02085944160062354,0.01100502260014764
1800,,,0.504225364100057,0.09168666579971614,0.026983122500314493,0.017331970099621685
2000,,,0.517359936000139,0.12635642779969203,0.03375558970001293,0.021271032199001637
2200,,,,0.14211236659939458,0.04837540759945114,0.03285341339978913
2400,,,,0.1889510318007524,0.06288636620010948,0.037484093899547585
2600,,,,0.22940829519975522,0.07634330550026788,0.0460499463002634
2800,,,,0.28646309600044334,0.09438048389929463,0.05599331290068221
3000,,,,0.3483839620999788,0.11131803999996918,0.06636837409969303
3200,,,,1.0490535825003462,0.14323461669991958,0.08283018430010998
3400,,,,0.5083946691989695,0.15978653080055666,0.09500152300024638
3600,,,,0.6083938876003231,0.1925224360995344,0.10948694379985682
3800,,,,0.7111725333001232,0.22141170329996385,0.1329779054998653
4000,,,,0.8607259354990674,0.2583031613001367,0.14503868620049615
